N,Name,Clase,Style,Difficulty,DamageType,Damage,Sturdiness,CrowdControl,Mobility,Functionality
77,Nautilus,TankSupport,8,2,M,1,3,3,1,1
78,Neeko,Mage,8,1,M,3,1,3,1,1
79,Nidalee,Assasin,8,3,M,3,1,1,3,2
80,Nocturne,Assasin,4,1,P,3,1,2,2,2
81,Nunu,Tank,8,1,M,1,3,2,1,2
82,Olaf,Warrior,4,2,P,2,2,2,1,1
83,Orianna,Mage,9,2,M,2,1,2,1,2
84,Ornn,Warrior,7,2,PM,1,3,3,1,2
85,Pantheon,WarriorAssasin,8,1,P,3,2,2,2,1
86,Poppy,TankWarrior,8,2,P,2,3,3,2,1
87,Pyke,Support,7,2,P,2,1,3,3,1
88,Qiyana,Warrior,7,2,P,3,1,2,2,1
89,Quinn,Marksman,3,2,P,3,1,2,3,1
90,Rakan,Support,9,2,M,1,2,3,3,3
91,Rammus,Tank,7,1,PM,2,3,3,2,1
92,Rek Sai,Warrior,4,2,P,2,2,2,2,2
93,Renekton,Warrior,5,1,P,2,2,2,2,1
94,Rengar,Assasin,4,2,P,3,1,2,2,1
95,Riven,Warrior,8,2,P,3,2,2,3,1
96,Rumble,Mage-Warrior,9,3,M,3,2,2,1,1
97,Ryze,Mage,10,2,M,3,1,2,2,2
98,Sejuani,Tank,8,2,M,2,2,3,2,1
99,Shaco,Assasin,5,2,P,3,1,2,2,2
100,Shen,Tank,5,2,PM,2,3,2,2,3
101,Shyvana,Warrior,6,1,P,2,2,1,2,1
102,Singed,TankWarrior,10,2,M,2,3,2,2,1
103,Sion,Warrior,7,1,P,2,3,3,1,1
104,Sivir,Marksman,2,2,P,3,1,1,1,2
105,Skarner,Warrior,5,1,PM,1,3,3,1,1
106,Sona,Support,9,1,M,2,1,2,1,2
107,Soraka,Support,10,1,M,1,1,2,1,3
108,Swain,Mage,10,2,M,2,2,2,1,1
109,Sylas,Mage-Warrior,7,3,M,2,2,1,3,1
110,Syndra,Mage,10,2,M,3,1,2,1,1
111,TahmKench,TankSupport,7,1,M,2,3,2,1,3
112,Taliyah,Mage,10,2,M,3,1,2,1,3
113,Talon,Assasin,7,2,P,3,1,1,2,1
114,Taric,TankSupport,8,2,M,1,2,2,1,3
115,Teemo,Assasin,3,1,M,3,1,2,1,2
116,Thresh,TankSupport,8,3,M,1,2,3,1,3
117,Tristana,Marksman,3,1,P,3,1,2,2,1
118,Trundle,Warrior,4,1,P,2,3,1,1,2
119,Tryndamere,Warrior,2,1,P,3,2,1,2,1
120,Twisted Fate,MageAssasin,7,2,M,3,1,2,2,2
121,Twitch,Marksman,1,2,P,3,1,1,2,1
122,Udyr,Warrior,4,2,PM,2,3,2,2,1
123,Urgot,Warrior,6,2,P,2,2,2,1,1
124,Varus,Marksman,3,2,P,3,1,2,1,1
125,Vayne,Marksman,1,2,P,3,1,2,2,1
126,Veigar,Mage,10,2,M,3,1,3,1,1
127,Vel Koz,Mage,10,2,M,3,1,2,1,1
128,Vi,Warrior,6,1,P,2,2,3,2,1
129,Viktor,Mage,9,3,M,3,1,2,1,1
130,Vladimir,MageWarrior,10,2,M,3,2,1,1,1
131,Volibear,TankWarrior,4,1,P,2,3,2,2,1
132,Warwick,Warrior,4,1,P,2,2,2,1,1
133,Wukong,Warrior,6,1,P,2,2,2,2,1
134,Xayah,Marksman,4,2,P,3,2,3,1,1
135,Xerath,Mage,9,2,M,3,1,2,1,1
136,Xin Zhao,Warrior,4,1,P,2,2,2,2,1
137,Yasuo,Warrior,3,3,P,3,1,2,3,2
138,Yorick,Warrior,6,2,PM,2,2,2,1,2
139,Yuumi,Support,10,1,M,1,1,1,3,3
140,Zac,TankWarrior,10,1,M,2,3,3,2,1
141,Zed,Assasin,6,3,P,3,1,1,3,1
142,Ziggs,Mage,9,2,M,3,1,2,2,1
143,Zilean,MageSupport,10,2,M,2,1,2,2,3
144,Zoe,Mage,10,3,M,3,1,2,2,1
145,Zyra,MageSupport,10,2,M,3,1,3,1,1
